team,avg_goals_scored_home,total_goals_scored_home,matches_played_home,avg_goals_conceded_home,avg_goals_scored_away,total_goals_scored_away,matches_played_away,avg_goals_conceded_away,avg_goals_scored,avg_goals_conceded,total_matches,win_rate,draw_rate
Braga,5.674897119341564,1379,243,5.707818930041152,6.09765625,1561.0,256.0,6.1015625,5.886276684670782,5.9046907150205765,499.0,0.5,0.2
Brentford,5.126637554585153,1174,229,5.222707423580786,5.429906542056075,1162.0,214.0,4.911214953271028,5.278272048320614,5.066961188425907,443.0,0.5,0.2
Brighton et Hove Albion,5.210280373831775,1115,214,5.098130841121495,5.550925925925926,1199.0,216.0,5.453703703703703,5.3806031498788505,5.275917272412599,430.0,0.5,0.2
Burnley,7.335820895522388,983,134,7.91044776119403,7.46875,956.0,128.0,7.7421875,7.402285447761194,7.826317630597015,262.0,0.5,0.2
Bâle,6.694805194805195,1031,154,8.448051948051948,6.713414634146342,1101.0,164.0,8.396341463414634,6.704109914475769,8.422196705733292,318.0,0.5,0.2
Cagliari Calcio,1.131578947368421,86,76,2.1710526315789473,1.2702702702702702,94.0,74.0,1.9594594594594594,1.2009246088193457,2.0652560455192033,150.0,0.5,0.2
Celta,5.806451612903226,1260,217,6.313364055299539,5.732394366197183,1221.0,213.0,5.830985915492958,5.769422989550204,6.072174985396249,430.0,0.5,0.2
Celtic,2.402439024390244,197,82,1.475609756097561,2.246913580246914,182.0,81.0,1.5061728395061729,2.324676302318579,1.490891297801867,163.0,0.5,0.2
Chelsea,5.321616871704745,3028,569,4.862917398945519,5.022491349480969,2903.0,578.0,4.967128027681661,5.172054110592857,4.91502271331359,1147.0,0.5,0.2
Club Atlético de Madrid,2.4572368421052633,747,304,2.4967105263157894,2.6246056782334386,832.0,317.0,2.4637223974763405,2.540921260169351,2.480216461896065,621.0,0.5,0.2
Club Brugge,1.2941176470588236,110,85,2.2823529411764705,1.1219512195121952,92.0,82.0,2.5609756097560976,1.2080344332855093,2.4216642754662843,167.0,0.5,0.2
Como,1.5921052631578947,121,76,1.3421052631578947,1.7125,137.0,80.0,1.5625,1.6523026315789473,1.4523026315789473,156.0,0.5,0.2
Croatie,1.9320388349514563,199,103,1.3106796116504855,1.3333333333333333,288.0,216.0,1.4814814814814814,1.632686084142395,1.3960805465659836,319.0,0.5,0.2
Crystal Palace,4.747663551401869,1016,214,5.38785046728972,5.078431372549019,1036.0,204.0,5.612745098039215,4.913047461975444,5.500297782664468,418.0,0.5,0.2
Danemark,1.1375,91,80,1.5,1.1772151898734178,93.0,79.0,1.5822784810126582,1.157357594936709,1.5411392405063291,159.0,0.5,0.2
Deportivo Alaves,1.2758620689655173,74,58,2.0689655172413794,0.9354838709677419,58.0,62.0,1.903225806451613,1.1056729699666297,1.9860956618464962,120.0,0.5,0.2
Eintracht,4.632716049382716,1501,324,4.8765432098765435,4.511041009463723,1430.0,317.0,4.854889589905363,4.57187852942322,4.865716399890953,641.0,0.5,0.2
Elche,1.0588235294117647,18,17,2.588235294117647,1.2105263157894737,23.0,19.0,1.8421052631578947,1.1346749226006192,2.215170278637771,36.0,0.5,0.2
Empoli,1.141025641025641,89,78,2.0128205128205128,1.2467532467532467,96.0,77.0,1.974025974025974,1.1938894438894438,1.9934232434232433,155.0,0.5,0.2
Espagne,1.5625,125,80,1.0375,2.042016806722689,243.0,119.0,1.2857142857142858,1.8022584033613445,1.161607142857143,199.0,0.5,0.2
Espanyol,1.0892857142857142,61,56,2.107142857142857,1.1,55.0,50.0,2.08,1.094642857142857,2.093571428571429,106.0,0.5,0.2
Everton,5.040404040404041,998,198,5.47979797979798,4.669811320754717,990.0,212.0,5.764150943396227,4.855107680579379,5.6219744615971035,410.0,0.5,0.2
Fenerbahçe,5.061111111111111,1822,360,4.636111111111111,5.138381201044386,1968.0,383.0,4.762402088772846,5.099746156077749,4.699256599941979,743.0,0.5,0.2
Feyenoord,1.2549019607843137,64,51,1.9411764705882353,1.3392857142857142,75.0,56.0,1.6071428571428572,1.297093837535014,1.7741596638655461,107.0,0.5,0.2
Fiorentine,6.059071729957806,1436,237,5.139240506329114,6.276595744680851,1475.0,235.0,5.685106382978724,6.167833737319328,5.412173444653918,472.0,0.5,0.2
France,2.220779220779221,342,154,1.0909090909090908,2.0852713178294575,269.0,129.0,1.0775193798449612,2.1530252693043392,1.084214235377026,283.0,0.5,0.2
Freiburg,1.3968253968253967,88,63,1.7777777777777777,1.4057971014492754,97.0,69.0,1.391304347826087,1.401311249137336,1.5845410628019323,132.0,0.5,0.2
Fulham,4.980769230769231,1036,208,5.663461538461538,4.991071428571429,1118.0,224.0,5.629464285714286,4.98592032967033,5.646462912087912,432.0,0.5,0.2
Galatasaray,2.7829181494661923,782,281,2.711743772241993,2.6909722222222223,775.0,288.0,2.8333333333333335,2.736945185844207,2.772538552787663,569.0,0.5,0.2
Genoa,1.2763157894736843,97,76,2.1184210526315788,1.2317073170731707,101.0,82.0,1.8780487804878048,1.2540115532734275,1.9982349165596918,158.0,0.5,0.2
Getafe,1.2363636363636363,68,55,2.2,1.2622950819672132,77.0,61.0,1.8852459016393444,1.2493293591654249,2.0426229508196725,116.0,0.5,0.2
Ghana,1.0555555555555556,76,72,2.2083333333333335,0.9639175257731959,187.0,194.0,2.283505154639175,1.0097365406643757,2.245919243986254,266.0,0.5,0.2
